Mixture,B cells naive,B cells memory,Plasma cells,T cells CD8,T cells CD4 naive,T cells CD4 memory resting,T cells CD4 memory activated,T cells follicular helper,T cells regulatory (Tregs),T cells gamma delta,NK cells resting,NK cells activated,Monocytes,Macrophages M0,Macrophages M1,Macrophages M2,Dendritic cells resting,Dendritic cells activated,Mast cells resting,Mast cells activated,Eosinophils,Neutrophils,P-value,Correlation,RMSE
TCGA-G3-A7M9-01A-23R-A352-07,0.154201373,0,0.0068567,0.153935545,0,0.042083167,0,0.036657552,0.080045269,0,0,0.058395673,0,0.331999654,0.026564802,0.035396214,0.015779755,0,0.054313217,0,0,0.003771079,0.183,0.077417333,1.073480087
TCGA-G3-A3CH-01A-11R-A22L-07,0.041911538,0,0,0.109501835,0,0.285584138,0,0,0.118224694,0,0,0.054575688,0.002362781,0,0.098809061,0.203069497,0.011483811,0,0.074476957,0,0,0,0.705,-0.007576148,1.105426283
TCGA-G3-A25S-01A-11R-A16W-07,0.001924997,0,0,0.128413278,0,0.026043349,0,0.002173358,0.099426184,0.008368521,0,0.086459678,0.037910695,0.185642421,0.028105052,0.262770314,0.016878916,0,0.110867219,0,0,0.005016017,0.564,0.007934064,1.099642083
TCGA-2Y-A9GW-01A-11R-A38B-07,0.042535373,0,0,0.010951403,0,0.173704349,0,0,0.065634597,0,0,0.026837598,0.002703076,0.447263936,0.085814097,0.030118231,0.085408031,0,0.025285386,0,0,0.003743922,0.014,0.2793171,0.999064069
TCGA-BC-A217-01A-11R-A155-07,0,0,0.044239837,0.089692205,0,0.305471969,0,0.022989874,0.093181773,0,0,0.034826155,0,0.041588307,0.10303734,0.21996181,0.012879303,0,0.032131427,0,0,0,0.241,0.059851642,1.073957423
TCGA-DD-AACX-01A-11R-A41C-07,0.009742896,0.013511583,0,0.035798403,0,0.189496793,0,0.018382406,0.05696425,0,0,0.078536472,0.057131135,0.107980165,0.13124555,0.056304397,0.018418985,0,0.215630288,0,0.006026085,0.004830592,0.318,0.044911414,1.078175831
TCGA-CC-A5UD-01A-11R-A28V-07,0,0,0,0.239735617,0,0.064891035,0,0.07037835,0.038792202,0.024698866,0,0.08043724,0.007020614,0,0.164488324,0.199372859,0.010009944,0,0.089720956,0,0.010453992,0,0.652,-0.001919233,1.124500817
TCGA-EP-A26S-01A-11R-A16W-07,0.037801864,0,0,0.037951512,0,0.137064055,0,0,0.030468937,0.006152605,0.057994333,0.08178135,0.00319546,0.199672455,0.069640979,0.233631435,0.005169744,0,0.099475272,0,0,0,0.358,0.035991179,1.090054124
TCGA-MI-A75E-01A-11R-A32O-07,0.016161167,0,0.015097056,0.153167227,0,0.242982557,0.004115226,0,0.084795059,0,0,0.051383353,0.028740655,0.071266689,0.08305784,0.144532201,0.050850389,0,0.048971405,0,0,0.004879176,0.38,0.031777444,1.081710261
TCGA-DD-AACO-01A-11R-A41C-07,0.018059694,0,0.04841099,0.039816982,0,0.316147644,0,0,0.106105112,0.091323397,0,0.02847232,0.010172642,0,0.071770422,0.200028172,0.005339096,0.001683298,0.062670231,0,0,0,0.61,0.002068218,1.094806052
TCGA-G3-A5SK-01A-11R-A27V-07,0.04785444,0,0.00580581,0.106236583,0,0.212482634,0,0.021583331,0.035335799,0.00622894,0.145350474,0.007834224,0.000386956,0.125835694,0.083149156,0.201915959,0,0,0,0,0,0,0.345,0.038865679,1.092869698
TCGA-BC-A110-01A-11R-A131-07,0.001809229,0,0.015616437,0.082642448,0,0.230329383,0.01553622,0.000221031,0.032217311,0,0.003558425,0.012964647,0.215815151,0.036667511,0.065422518,0.163259419,0.015834326,0,0.063591468,0,0.034918093,0.009596382,0.335,0.041245337,1.067062481
