"","cor","pvalue"
"PTPN7",0.668602226523469,3.65676758385085e-31
"PTPRC",0.714275836148197,3.38837024019784e-37
"PTPRCAP",0.672170653115016,1.35081409592308e-31
"PTPRE",0.558272663179156,3.02353967317566e-20
"PVRIG",0.534648483714751,2.0984405376065e-18
"PYHIN1",0.649258661859759,6.41147153086526e-29
"RAB31",0.523450948862032,1.39786820406972e-17
"RAB33A",0.58841167600203,1.06381350590444e-21
"RAB39B",0.558089483234119,2.06663330495737e-19
"RAC2",0.707607410868483,3.04257739504593e-36
"RAMP2",0.516787984733839,4.18103475167925e-17
"RAMP3",0.550593824002157,1.24467221706647e-19
"RASAL3",0.686532374873518,2.12374942534139e-33
"RASGRP1",0.676237736994791,5.80625139020215e-32
"RASGRP3",0.523101009306203,1.48155134460043e-17
"RASSF2",0.677773344657529,2.74928110127756e-32
"RCAN2",0.550732175847773,1.21372992030411e-19
"RCSD1",0.708495427694425,2.27957255077695e-36
"RGS1",0.600178754695572,6.74282337475531e-24
"RGS10",0.623725797777198,3.39265074883946e-26
"RGS18",0.617513687160427,1.43125952503408e-25
"RHOH",0.694810911145125,1.735075927271e-34
"RIPK3",0.547717822508867,2.09499265981096e-19
"RLTPR",0.535174659209608,1.91620301962021e-18
"RNASE6",0.656631183991537,9.35836689121195e-30
"RUNX3",0.670490211197534,2.16281255609624e-31
"S100A4",0.553971501201625,6.70947282044582e-20
"S1PR4",0.650078608443902,5.18981674663062e-29
"SAMD3",0.701213123504386,2.35734589566904e-35
"SAMSN1",0.63859239317367,9.46127604945859e-28
"SASH3",0.729864399087473,1.55351694839401e-39
"SCML4",0.572984457287958,2.21354951504616e-21
"SELL",0.634722009281555,2.44817684889073e-27
"SELP",0.523887407651637,2.9307235605836e-17
"SELPLG",0.712320462820569,6.49119539727197e-37
"SEMA4D",0.568992646528433,3.94064812596122e-21
"SEPT1",0.624071916186723,3.12819085365806e-26
"SERPINB9",0.536077581171545,1.63898716471382e-18
"SFMBT2",0.549882056488054,1.41651395693174e-19
"SGCA",0.500687735872345,2.31820796551144e-15
"SH2B3",0.529249114334851,5.28226867746014e-18
"SH2D1A",0.675568766497523,7.02079821895663e-32
"SH2D2A",0.58795579883956,8.88833601041105e-23
"SH2D3C",0.599525293275815,7.76127773441808e-24
"SHISA3",0.611158331182332,6.78540817428561e-23
"SIDT1",0.515629331730725,5.04623032605558e-17
"SIGLEC10",0.509167212216687,1.42194620447896e-16
"SIGLEC7",0.527561699861599,7.02516658781369e-18
"SIGLEC9",0.514427454591449,6.12872038430137e-17
"SIGLECP3",0.508258079593273,1.01291831658956e-15
"SIRPG",0.549103191671943,2.34554220310901e-19
"SIT1",0.714141344026192,1.48899540636587e-36
"SLA",0.667139107943714,5.47901279829815e-31
"SLA2",0.662344627467012,2.0287471823678e-30
"SLAMF1",0.724752615324192,1.37606181686308e-38
"SLAMF6",0.6944398177295,2.70864041376151e-34
"SLAMF7",0.605279365593885,2.22405309132992e-24
"SLAMF8",0.586948540951721,1.09398912354322e-22
"SLC15A3",0.521267372454378,2.00701737107765e-17
"SLC24A4",0.502403206465347,6.39776141840009e-16
"SLC4A10",0.623005144224723,5.71276506731582e-24
"SLC8A1",0.564599267898251,9.16493507054269e-21
"SLC9A9",0.625404325238706,2.28664725356702e-26
"SLFN11",0.573064988725301,1.78186291147231e-21
"SLIT3",0.527315046794171,8.63738307288395e-18
"SMOC2",0.673955059070624,8.16674252536419e-32
"SNAI1",0.542932376707845,4.92790223143365e-19
"SNAI3",0.591389176702266,5.41263580676479e-23
"SOCS3",0.573491766884649,1.63860148898312e-21
"SOX17",0.508183643626194,1.66161634326857e-16
"SP140",0.507511537503914,1.84770008737148e-16
"SPI1",0.607098585747487,1.49017240438319e-24
"SPN",0.672684580352974,1.1689837235785e-31
"SPOCK2",0.772263806477911,8.18371688034016e-47
"SRGN",0.672745813736262,1.14899749267736e-31
"SRPX",0.520638694032543,3.60032402420826e-17
"ST8SIA1",0.520818455291544,7.79762199183421e-17
"ST8SIA4",0.651922032081678,3.2189590923182e-29
"STAP1",0.524463242260076,2.22313685240282e-16
"STAT4",0.548503439220164,1.81814511556368e-19
"STK10",0.546236641374407,2.73398648863352e-19
"STK17B",0.637093751263492,1.3693772797873e-27
"STX11",0.534273631185438,2.23853023453888e-18
"SVEP1",0.595009433643314,3.16224015207184e-23
"SYK",0.518668016949193,3.07666949646341e-17
"SYNPO2",0.623206013684711,3.8316613720291e-26
"SYTL1",0.507048222828054,1.98770470539292e-16
"TAGAP",0.670372246911879,2.23521219851181e-31
"TAGLN",0.531269300851395,3.74672482479632e-18
