"","cor","pvalue"
"CD37",0.652790892001366,1.06945566907815e-45
"LYL1",0.559031804729394,2.16156703333332e-31
"LILRB1",0.531304770191304,5.60645075209951e-28
"RASAL3",0.709724662946966,3.51215977741189e-57
"EBI3",0.609148933158645,1.91531090501491e-38
"CEACAM4",0.520857274443653,9.02119099934731e-27
"CD79A",0.624353574835525,7.68020712929809e-41
"NKG7",0.607336787954979,3.62504918901857e-38
"CD33",0.504166394245058,6.28591630536409e-25
"JAK3",0.657194458360112,1.6978900870383e-46
"PBX4",0.504877992548786,5.27040486956238e-25
"TNFSF8",0.560409427312825,1.43449750484637e-31
"GATA3",0.532839633134672,3.69719371141199e-28
"SPOCK2",0.65087332596679,2.36076601796776e-45
"P2RX1",0.542515831810495,2.54918883064551e-29
"ABI3",0.603352122413067,1.45325426166403e-37
"CLNK",0.538455648514752,7.91287236315872e-29
"CRTAM",0.521869766883541,6.92074827540087e-27
"MS4A6A",0.605471131595721,6.961706682187e-38
"MS4A4A",0.520200463684064,1.07085553543489e-26
"IL10RA",0.61066682369438,1.11886652856341e-38
"CD5",0.748677212148198,8.71667326656841e-67
"C11orf21",0.551467228566421,1.98569775161221e-30
"CD69",0.743032359836574,2.75166300178238e-65
"CLEC2B",0.61481365628314,2.53799458930144e-39
"SELPLG",0.723326366694924,2.39405277959849e-60
"BIN2",0.680322611351016,6.3326537184363e-51
"ARHGDIB",0.663258179816337,1.27967082874964e-47
"SMOC2",0.536768540562394,1.26121670156851e-28
"LY86",0.636006602644219,9.05628022299472e-43
"GZMK",0.694862736912519,6.34348671707095e-54
"ITK",0.673554680796803,1.37762973336854e-49
"CD86",0.555431431050613,6.25527968534942e-31
"ZAP70",0.722267486418294,4.28958494817923e-60
"CYTIP",0.698992978868894,8.26814871627482e-55
"IL18RAP",0.778361378766192,2.20300907325902e-75
"WIPF1",0.575537404659971,1.3976938094561e-33
"CD2",0.795914844770578,4.0157733503789e-81
"SLAMF1",0.767497172757329,4.34629321819639e-72
"CD48",0.739057653502088,2.96382089848616e-64
"PLA2G2D",0.585593384879815,5.6182254376299e-35
